model,repeat,case_id,policy_id,tier,condition,condition_label,instruction,expected_command,raw_response,normalized_command,valid,command_correct,action_family_correct,executable_correct,latency_ms,error
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",M,B,B,True,False,False,False,12913.379,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,D3-P1,D3,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más o el escudo está levantado, dispará; si no, levantá el escudo.",B,B,B,True,True,True,True,342.628,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,en,English,"If both shields are in the same state, fire; otherwise move forward.",M,B,B,True,False,False,False,933.303,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",M,B,B,True,False,False,False,335.864,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_standard,Tuteo Spanish,"Si los dos escudos están en el mismo estado, dispara; si no, avanza.",M,B,B,True,False,False,False,341.525,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,D3-P1,D3,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más o el escudo está levantado, dispara; si no, levanta el escudo.",S1,B,B,True,False,False,False,939.882,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,D3-P1,D3,en,English,"If your health is 15 or higher or your shield is raised, fire; otherwise raise the shield.",S1,B,B,True,False,False,False,343.109,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,D3-P1,D3,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más o el escudo está levantado, dispará; si no, levantá el escudo.",S1,B,B,True,False,False,False,342.717,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-b,D3-P1,D3,en,English,"If your health is 15 or higher or your shield is raised, fire; otherwise raise the shield.",B,B,B,True,True,True,True,792.246,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-b,D3-P1,D3,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más o el escudo está levantado, dispará; si no, levantá el escudo.",B,B,B,True,True,True,True,343.34,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-b,D3-P1,D3,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más o el escudo está levantado, dispara; si no, levanta el escudo.",B,B,B,True,True,True,True,343.527,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-c,D2-P2,D2,en,English,"If your x coordinate is less than or equal to the opponent's x coordinate, turn clockwise 90 degrees; otherwise turn counterclockwise 90 degrees.",C90.0,A90,A90.0,True,False,False,False,1090.07,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-c,D2-P2,D2,es_standard,Tuteo Spanish,"Si tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario; si no, gira 90 grados en sentido antihorario.",C90.0,C90,C90.0,True,True,True,True,672.433,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-c,D2-P2,D2,es_rioplatense,Rioplatense voseo,"Si tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario; si no, girá 90 grados en sentido antihorario.",C90.0,A90,A90.0,True,False,False,False,498.553,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-d,D5-P2,D5,en,English,"Compute the horizontal distance between your x coordinate and the opponent's x coordinate. If it is below 0.4, turn clockwise 90 degrees; otherwise move forward 0.1.",C90.0,M0.1,M0.1,True,False,False,False,1170.903,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-d,D5-P2,D5,es_rioplatense,Rioplatense voseo,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, girá 90 grados en sentido horario; si no, avanzá 0.1.",C90.0,B,B,True,False,False,False,544.236,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-d,D5-P2,D5,es_standard,Tuteo Spanish,"Calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, gira 90 grados en sentido horario; si no, avanza 0.1.",C90.0,B,B,True,False,False,False,519.618,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-d,D2-P2,D2,en,English,"If your x coordinate is less than or equal to the opponent's x coordinate, turn clockwise 90 degrees; otherwise turn counterclockwise 90 degrees.",A90.0,C90,C90.0,True,False,False,False,1106.119,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-d,D2-P2,D2,es_rioplatense,Rioplatense voseo,"Si tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario; si no, girá 90 grados en sentido antihorario.",A90.0,A90,A90.0,True,True,True,True,687.466,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-d,D2-P2,D2,es_standard,Tuteo Spanish,"Si tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario; si no, gira 90 grados en sentido antihorario.",A90.0,C90,C90.0,True,False,False,False,503.673,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-d,D3-P2,D3,es_standard,Tuteo Spanish,"Si los dos escudos están en el mismo estado, dispara; si no, avanza.",B,B,B,True,True,True,True,787.829,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-d,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",B,B,B,True,True,True,True,358.484,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-d,D3-P2,D3,en,English,"If both shields are in the same state, fire; otherwise move forward.",B,B,B,True,True,True,True,363.484,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-a,D2-P2,D2,en,English,"If your x coordinate is less than or equal to the opponent's x coordinate, turn clockwise 90 degrees; otherwise turn counterclockwise 90 degrees.",A90.0,C90,C90.0,True,False,False,False,1114.619,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-a,D2-P2,D2,es_standard,Tuteo Spanish,"Si tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario; si no, gira 90 grados en sentido antihorario.",A90.0,C90,C90.0,True,False,False,False,679.496,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-a,D2-P2,D2,es_rioplatense,Rioplatense voseo,"Si tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario; si no, girá 90 grados en sentido antihorario.",A90.0,A90,A90.0,True,True,True,True,496.794,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,D5-P1,D5,es_standard,Tuteo Spanish,"Si no tienes al menos 10 puntos de salud más que el rival, levanta el escudo; si no, dispara.",B,S1,S1,True,False,False,False,886.875,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,D5-P1,D5,en,English,"If your health is not at least 10 points higher than the opponent's health, raise the shield; otherwise fire.",B,S1,S1,True,False,False,False,442.606,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,D5-P1,D5,es_rioplatense,Rioplatense voseo,"Si no tenés al menos 10 puntos de salud más que el rival, levantá el escudo; si no, dispará.",B,S1,S1,True,False,False,False,435.071,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,D1-P2,D1,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más, avanza; si no, levanta el escudo.",M,M,M,True,True,True,True,986.186,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,D1-P2,D1,en,English,"If your health is 15 or higher, move forward; otherwise raise the shield.",M,M,M,True,True,True,True,361.786,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,D1-P2,D1,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más, avanzá; si no, levantá el escudo.",M,M,M,True,True,True,True,352.365,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-d,D2-P1,D2,es_rioplatense,Rioplatense voseo,"Si tenés tanta o más salud que el rival, dispará; si no, levantá el escudo.",S1,B,B,True,False,False,False,964.264,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-d,D2-P1,D2,en,English,"If your health is greater than or equal to the opponent's health, fire; otherwise raise the shield.",S1,B,B,True,False,False,False,352.227,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-d,D2-P1,D2,es_standard,Tuteo Spanish,"Si tienes tanta o más salud que el rival, dispara; si no, levanta el escudo.",S1,B,B,True,False,False,False,358.064,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,D1-P1,D1,en,English,"If your shield is down, fire; otherwise lower the shield.",B,B,B,True,True,True,True,976.217,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,D1-P1,D1,es_standard,Tuteo Spanish,"Si tienes el escudo bajo, dispara; si no, bájalo.",B,B,B,True,True,True,True,345.29,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,D1-P1,D1,es_rioplatense,Rioplatense voseo,"Si tenés el escudo bajo, dispará; si no, bajalo.",B,B,B,True,True,True,True,361.772,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-d,D1-P1,D1,es_rioplatense,Rioplatense voseo,"Si tenés el escudo bajo, dispará; si no, bajalo.",B,B,B,True,True,True,True,963.653,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-d,D1-P1,D1,es_standard,Tuteo Spanish,"Si tienes el escudo bajo, dispara; si no, bájalo.",B,B,B,True,True,True,True,365.434,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-d,D1-P1,D1,en,English,"If your shield is down, fire; otherwise lower the shield.",B,B,B,True,True,True,True,360.959,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,D5-P1,D5,en,English,"If your health is not at least 10 points higher than the opponent's health, raise the shield; otherwise fire.",S1,S1,S1,True,True,True,True,1097.545,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,D5-P1,D5,es_standard,Tuteo Spanish,"Si no tienes al menos 10 puntos de salud más que el rival, levanta el escudo; si no, dispara.",S1,S1,S1,True,True,True,True,445.594,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,D5-P1,D5,es_rioplatense,Rioplatense voseo,"Si no tenés al menos 10 puntos de salud más que el rival, levantá el escudo; si no, dispará.",S1,S1,S1,True,True,True,True,435.083,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,D5-P2,D5,en,English,"Compute the horizontal distance between your x coordinate and the opponent's x coordinate. If it is below 0.4, turn clockwise 90 degrees; otherwise move forward 0.1.",M0.1,B,B,True,False,False,False,1241.017,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,D5-P2,D5,es_rioplatense,Rioplatense voseo,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, girá 90 grados en sentido horario; si no, avanzá 0.1.",M0.1,B,B,True,False,False,False,564.955,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,D5-P2,D5,es_standard,Tuteo Spanish,"Calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, gira 90 grados en sentido horario; si no, avanza 0.1.",M0.1,B,B,True,False,False,False,537.906,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-c,D1-P2,D1,en,English,"If your health is 15 or higher, move forward; otherwise raise the shield.",M,M,M,True,True,True,True,974.757,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-c,D1-P2,D1,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más, avanza; si no, levanta el escudo.",M,M,M,True,True,True,True,348.94,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-c,D1-P2,D1,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más, avanzá; si no, levantá el escudo.",M,M,M,True,True,True,True,357.771,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-a,D1-P1,D1,en,English,"If your shield is down, fire; otherwise lower the shield.",S0,S0,S0,True,True,True,True,1072.822,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-a,D1-P1,D1,es_standard,Tuteo Spanish,"Si tienes el escudo bajo, dispara; si no, bájalo.",S0,S0,S0,True,True,True,True,431.97,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-a,D1-P1,D1,es_rioplatense,Rioplatense voseo,"Si tenés el escudo bajo, dispará; si no, bajalo.",S0,S,S,True,False,False,True,350.777,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,D1-P1,D1,es_standard,Tuteo Spanish,"Si tienes el escudo bajo, dispara; si no, bájalo.",S0,S0,S0,True,True,True,True,1039.388,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,D1-P1,D1,en,English,"If your shield is down, fire; otherwise lower the shield.",S0,S0,S0,True,True,True,True,424.764,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,D1-P1,D1,es_rioplatense,Rioplatense voseo,"Si tenés el escudo bajo, dispará; si no, bajalo.",S0,S,S,True,False,False,True,364.969,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-b,D2-P2,D2,es_standard,Tuteo Spanish,"Si tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario; si no, gira 90 grados en sentido antihorario.",C90.0,C90,C90.0,True,True,True,True,1429.724,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-b,D2-P2,D2,es_rioplatense,Rioplatense voseo,"Si tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario; si no, girá 90 grados en sentido antihorario.",C90.0,A90,A90.0,True,False,False,False,507.623,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-b,D2-P2,D2,en,English,"If your x coordinate is less than or equal to the opponent's x coordinate, turn clockwise 90 degrees; otherwise turn counterclockwise 90 degrees.",C90.0,C90,C90.0,True,True,True,True,694.559,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-c,D2-P1,D2,es_rioplatense,Rioplatense voseo,"Si tenés tanta o más salud que el rival, dispará; si no, levantá el escudo.",B,B,B,True,True,True,True,971.175,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-c,D2-P1,D2,en,English,"If your health is greater than or equal to the opponent's health, fire; otherwise raise the shield.",B,B,B,True,True,True,True,351.389,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-c,D2-P1,D2,es_standard,Tuteo Spanish,"Si tienes tanta o más salud que el rival, dispara; si no, levanta el escudo.",B,B,B,True,True,True,True,337.898,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,D5-P2,D5,en,English,"Compute the horizontal distance between your x coordinate and the opponent's x coordinate. If it is below 0.4, turn clockwise 90 degrees; otherwise move forward 0.1.",M0.1,B,B,True,False,False,False,1231.086,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,D5-P2,D5,es_standard,Tuteo Spanish,"Calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, gira 90 grados en sentido horario; si no, avanza 0.1.",M0.1,B,B,True,False,False,False,555.905,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,D5-P2,D5,es_rioplatense,Rioplatense voseo,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, girá 90 grados en sentido horario; si no, avanzá 0.1.",M0.1,B,B,True,False,False,False,530.401,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-b,D1-P2,D1,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más, avanza; si no, levanta el escudo.",S1,M,M,True,False,False,False,977.797,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-b,D1-P2,D1,en,English,"If your health is 15 or higher, move forward; otherwise raise the shield.",S1,M,M,True,False,False,False,354.265,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-b,D1-P2,D1,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más, avanzá; si no, levantá el escudo.",S1,M,M,True,False,False,False,355.961,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-b,D5-P1,D5,es_rioplatense,Rioplatense voseo,"Si no tenés al menos 10 puntos de salud más que el rival, levantá el escudo; si no, dispará.",S1,S1,S1,True,True,True,True,1059.873,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-b,D5-P1,D5,es_standard,Tuteo Spanish,"Si no tienes al menos 10 puntos de salud más que el rival, levanta el escudo; si no, dispara.",S1,S1,S1,True,True,True,True,440.739,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-b,D5-P1,D5,en,English,"If your health is not at least 10 points higher than the opponent's health, raise the shield; otherwise fire.",S1,S1,S1,True,True,True,True,437.335,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-a,D3-P2,D3,en,English,"If both shields are in the same state, fire; otherwise move forward.",B,B,B,True,True,True,True,971.967,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-a,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",B,B,B,True,True,True,True,360.466,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-a,D3-P2,D3,es_standard,Tuteo Spanish,"Si los dos escudos están en el mismo estado, dispara; si no, avanza.",B,B,B,True,True,True,True,342.077,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-a,D2-P1,D2,es_standard,Tuteo Spanish,"Si tienes tanta o más salud que el rival, dispara; si no, levanta el escudo.",S1,B,B,True,False,False,False,958.855,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-a,D2-P1,D2,en,English,"If your health is greater than or equal to the opponent's health, fire; otherwise raise the shield.",S1,B,B,True,False,False,False,345.465,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-a,D2-P1,D2,es_rioplatense,Rioplatense voseo,"Si tenés tanta o más salud que el rival, dispará; si no, levantá el escudo.",S1,B,B,True,False,False,False,357.078,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,D1-P2,D1,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más, avanza; si no, levanta el escudo.",S1,M,M,True,False,False,False,968.609,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,D1-P2,D1,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más, avanzá; si no, levantá el escudo.",S1,M,M,True,False,False,False,373.379,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,D1-P2,D1,en,English,"If your health is 15 or higher, move forward; otherwise raise the shield.",S1,M,M,True,False,False,False,360.725,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-a,D2-P1,D2,es_rioplatense,Rioplatense voseo,"Si tenés tanta o más salud que el rival, dispará; si no, levantá el escudo.",S1,B,B,True,False,False,False,11442.214,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-a,D2-P1,D2,en,English,"If your health is greater than or equal to the opponent's health, fire; otherwise raise the shield.",S1,B,B,True,False,False,False,197.212,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-a,D2-P1,D2,es_standard,Tuteo Spanish,"Si tienes tanta o más salud que el rival, dispara; si no, levanta el escudo.",S1,B,B,True,False,False,False,206.641,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,en,English,"If both shields are in the same state, fire; otherwise move forward.",M,B,B,True,False,False,False,311.049,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_standard,Tuteo Spanish,"Si los dos escudos están en el mismo estado, dispara; si no, avanza.",M,B,B,True,False,False,False,194.28,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",M,B,B,True,False,False,False,149.232,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-health-d,D1-P2,D1,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más, avanza; si no, levanta el escudo.",M,M,M,True,True,True,True,338.347,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-health-d,D1-P2,D1,en,English,"If your health is 15 or higher, move forward; otherwise raise the shield.",M,M,M,True,True,True,True,183.474,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-health-d,D1-P2,D1,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más, avanzá; si no, levantá el escudo.",M,M,M,True,True,True,True,208.98,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-c,D2-P2,D2,es_standard,Tuteo Spanish,"Si tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario; si no, gira 90 grados en sentido antihorario.",C90.0,C90,C90.0,True,True,True,True,368.713,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-c,D2-P2,D2,en,English,"If your x coordinate is less than or equal to the opponent's x coordinate, turn clockwise 90 degrees; otherwise turn counterclockwise 90 degrees.",C90.0,C90,C90.0,True,True,True,True,264.819,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-c,D2-P2,D2,es_rioplatense,Rioplatense voseo,"Si tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario; si no, girá 90 grados en sentido antihorario.",C90.0,C90,C90.0,True,True,True,True,272.317,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,en,English,"If both shields are in the same state, fire; otherwise move forward.",M,B,B,True,False,False,False,291.421,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_standard,Tuteo Spanish,"Si los dos escudos están en el mismo estado, dispara; si no, avanza.",M,B,B,True,False,False,False,188.491,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",M,B,B,True,False,False,False,145.107,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-d,D2-P1,D2,es_standard,Tuteo Spanish,"Si tienes tanta o más salud que el rival, dispara; si no, levanta el escudo.",S1,B,B,True,False,False,False,323.665,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-d,D2-P1,D2,en,English,"If your health is greater than or equal to the opponent's health, fire; otherwise raise the shield.",S1,B,B,True,False,False,False,195.13,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-d,D2-P1,D2,es_rioplatense,Rioplatense voseo,"Si tenés tanta o más salud que el rival, dispará; si no, levantá el escudo.",S1,B,B,True,False,False,False,212.129,
