model,repeat,case_id,task_class,tier,condition,condition_label,instruction,expected_command,raw_response,normalized_command,parsed_kind,parsed_value,valid,action_family_correct,parameter_correct,command_correct,executable_correct,diagnostic_command,diagnostic_method,diagnostic_command_correct,failure_class,latency_ms,error
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-d,decision_complexity,D3,en,English,"If exactly one of the two shields is raised, move forward; otherwise fire.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,336.439,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-d,decision_complexity,D3,es_rioplatense,Rioplatense Spanish,"Si exactamente uno de los dos escudos está levantado, avanzá; si no, dispará.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,330.641,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d6-distance-composite-a,decision_complexity,D6,es_rioplatense,Rioplatense Spanish,"Primero calculá la distancia horizontal entre vos y el rival. Si la distancia es de al menos 0.4: si tenés menos salud que el rival, levantá el escudo; si no, avanzá 0.1. Si la distancia es menor que 0.4: si el rival tiene el escudo bajo, dispará; si no, girá 90 grados en sentido antihorario.",S1,B,B,shoot,,True,False,False,False,False,B,strict,False,action_error,1531.626,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d6-distance-composite-a,decision_complexity,D6,en,English,"First compute the horizontal distance between you and the opponent. If the distance is at least 0.4: if your health is lower than the opponent's, raise the shield; otherwise move forward 0.1. If the distance is below 0.4: if the opponent's shield is down, fire; otherwise turn counterclockwise 90 degrees.",S1,M0.1,M0.1,move,0.1,True,False,False,False,False,M0.1,strict,False,action_error,946.122,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d6-distance-composite-a,decision_complexity,D6,es_standard,standardised Spanish,"Primero calcula la distancia horizontal entre tú y el rival. Si la distancia es de al menos 0.4: si tienes menos salud que el rival, levanta el escudo; si no, avanza 0.1. Si la distancia es menor que 0.4: si el rival tiene el escudo bajo, dispara; si no, gira 90 grados en sentido antihorario.",S1,M0.1,M0.1,move,0.1,True,False,False,False,False,M0.1,strict,False,action_error,962.11,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,decision_complexity,D3,en,English,"If your health is below 15 and your shield is down, raise the shield; otherwise fire.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,1001.436,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,decision_complexity,D3,es_standard,standardised Spanish,"Si tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo; si no, dispara.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,399.378,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,decision_complexity,D3,es_rioplatense,Rioplatense Spanish,"Si tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo; si no, dispará.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,398.154,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-shield-b,decision_complexity,D4,es_rioplatense,Rioplatense Spanish,"Aplicá esta política en orden: si tenés el escudo levantado, bajalo. Si no, si el rival tiene menos de 10 puntos de salud, dispará. En cualquier otro caso, levantá el escudo.",B,S0,S0,shield_set,0.0,True,False,,False,False,S0,strict,False,action_error,1260.59,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-shield-b,decision_complexity,D4,es_standard,standardised Spanish,"Aplica esta política en orden: si tienes el escudo levantado, bájalo. Si no, si el rival tiene menos de 10 puntos de salud, dispara. En cualquier otro caso, levanta el escudo.",B,S0,S0,shield_set,0.0,True,False,,False,False,S0,strict,False,action_error,580.75,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-shield-b,decision_complexity,D4,en,English,"Use this policy in order: if your shield is raised, lower it. Otherwise, if the opponent has less than 10 health, fire. Otherwise, raise your shield.",B,S0,S0,shield_set,0.0,True,False,,False,False,S0,strict,False,action_error,573.886,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-health-c,decision_complexity,D4,en,English,"Use this policy in order: if your health is below 10, raise the shield. Otherwise, if the opponent's shield is raised, move forward. Otherwise, fire.",M,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,1254.449,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-health-c,decision_complexity,D4,es_standard,standardised Spanish,"Aplica esta política en orden: si tienes menos de 10 puntos de salud, levanta el escudo. Si no, si el rival tiene el escudo levantado, avanza. En cualquier otro caso, dispara.",M,B,B,shoot,,True,False,,False,False,B,strict,False,action_error,520.171,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-health-c,decision_complexity,D4,es_rioplatense,Rioplatense Spanish,"Aplicá esta política en orden: si tenés menos de 10 puntos de salud, levantá el escudo. Si no, si el rival tiene el escudo levantado, avanzá. En cualquier otro caso, dispará.",M,B,B,shoot,,True,False,,False,False,B,strict,False,action_error,517.516,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-d,decision_complexity,D5,en,English,"Compute the horizontal distance between your x coordinate and the opponent's x coordinate. If it is at least 0.4, move forward 0.1; otherwise turn clockwise 90 degrees.",C90.0,M0.1,M0.1,move,0.1,True,False,False,False,False,M0.1,strict,False,action_error,1388.096,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-d,decision_complexity,D5,es_rioplatense,Rioplatense Spanish,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es de al menos 0.4, avanzá 0.1; si no, girá 90 grados en sentido horario.",C90.0,B,B,shoot,,True,False,False,False,False,B,strict,False,action_error,520.089,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-d,decision_complexity,D5,es_standard,standardised Spanish,"Calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es de al menos 0.4, avanza 0.1; si no, gira 90 grados en sentido horario.",C90.0,B,B,shoot,,True,False,False,False,False,B,strict,False,action_error,520.838,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-shield-c,decision_complexity,D4,en,English,"Use this policy in order: if your shield is raised, lower it. Otherwise, if the opponent has less than 10 health, fire. Otherwise, raise your shield.",S1,S0,S0,shield_set,0.0,True,True,False,False,False,S0,strict,False,action_error,992.897,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-shield-c,decision_complexity,D4,es_standard,standardised Spanish,"Aplica esta política en orden: si tienes el escudo levantado, bájalo. Si no, si el rival tiene menos de 10 puntos de salud, dispara. En cualquier otro caso, levanta el escudo.",S1,S0,S0,shield_set,0.0,True,True,False,False,False,S0,strict,False,action_error,596.626,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-shield-c,decision_complexity,D4,es_rioplatense,Rioplatense Spanish,"Aplicá esta política en orden: si tenés el escudo levantado, bajalo. Si no, si el rival tiene menos de 10 puntos de salud, dispará. En cualquier otro caso, levantá el escudo.",S1,S0,S0,shield_set,0.0,True,True,False,False,False,S0,strict,False,action_error,584.894,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d6-distance-composite-b,decision_complexity,D6,en,English,"First compute the horizontal distance between you and the opponent. If the distance is at least 0.4: if your health is lower than the opponent's, raise the shield; otherwise move forward 0.1. If the distance is below 0.4: if the opponent's shield is down, fire; otherwise turn counterclockwise 90 degrees.",M0.1,M0.1,M0.1,move,0.1,True,True,True,True,True,M0.1,strict,True,correct,1723.153,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d6-distance-composite-b,decision_complexity,D6,es_standard,standardised Spanish,"Primero calcula la distancia horizontal entre tú y el rival. Si la distancia es de al menos 0.4: si tienes menos salud que el rival, levanta el escudo; si no, avanza 0.1. Si la distancia es menor que 0.4: si el rival tiene el escudo bajo, dispara; si no, gira 90 grados en sentido antihorario.",M0.1,M0.1,M0.1,move,0.1,True,True,True,True,True,M0.1,strict,True,correct,1004.834,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d6-distance-composite-b,decision_complexity,D6,es_rioplatense,Rioplatense Spanish,"Primero calculá la distancia horizontal entre vos y el rival. Si la distancia es de al menos 0.4: si tenés menos salud que el rival, levantá el escudo; si no, avanzá 0.1. Si la distancia es menor que 0.4: si el rival tiene el escudo bajo, dispará; si no, girá 90 grados en sentido antihorario.",M0.1,B,B,shoot,,True,False,False,False,False,B,strict,False,action_error,805.484,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d6-priority-composite-d,decision_complexity,D6,es_standard,standardised Spanish,"Aplica estas reglas en orden. Primero, si tienes el escudo levantado, bájalo. Si no, si el rival tiene 10 puntos de salud o menos, dispara. Si no, si tu salud es menor o igual que la del rival, levanta el escudo. En cualquier otro caso, avanza 0.1.",M0.1,S0,S0,shield_set,0.0,True,False,False,False,False,S0,strict,False,action_error,1323.429,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d6-priority-composite-d,decision_complexity,D6,en,English,"Apply these rules in order. First, if your shield is raised, lower it. Otherwise, if the opponent has 10 health or less, fire. Otherwise, if your health is less than or equal to the opponent's health, raise the shield. Otherwise, move forward 0.1.",M0.1,S0,S0,shield_set,0.0,True,False,False,False,False,S0,strict,False,action_error,635.755,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d6-priority-composite-d,decision_complexity,D6,es_rioplatense,Rioplatense Spanish,"Aplicá estas reglas en orden. Primero, si tenés el escudo levantado, bajalo. Si no, si el rival tiene 10 puntos de salud o menos, dispará. Si no, si tu salud es menor o igual que la del rival, levantá el escudo. En cualquier otro caso, avanzá 0.1.",M0.1,S0,S0,shield_set,0.0,True,False,False,False,False,S0,strict,False,action_error,844.831,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-health-a,decision_complexity,D4,es_standard,standardised Spanish,"Aplica esta política en orden: si tienes menos de 10 puntos de salud, levanta el escudo. Si no, si el rival tiene el escudo levantado, avanza. En cualquier otro caso, dispara.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,1382.762,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-health-a,decision_complexity,D4,es_rioplatense,Rioplatense Spanish,"Aplicá esta política en orden: si tenés menos de 10 puntos de salud, levantá el escudo. Si no, si el rival tiene el escudo levantado, avanzá. En cualquier otro caso, dispará.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,638.684,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-health-a,decision_complexity,D4,en,English,"Use this policy in order: if your health is below 10, raise the shield. Otherwise, if the opponent's shield is raised, move forward. Otherwise, fire.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,590.711,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,decision_complexity,D5,es_rioplatense,Rioplatense Spanish,"Si tenés al menos 10 puntos de salud más que el rival, dispará; si no, levantá el escudo.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,1050.841,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,decision_complexity,D5,en,English,"If your health is at least 10 points higher than the opponent's health, fire; otherwise raise the shield.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,363.265,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,decision_complexity,D5,es_standard,standardised Spanish,"Si tienes al menos 10 puntos de salud más que el rival, dispara; si no, levanta el escudo.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,342.591,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-b,decision_complexity,D2,en,English,"If your x coordinate is greater than the opponent's x coordinate, turn counterclockwise 90 degrees; otherwise turn clockwise 90 degrees.",C90.0,A90,A90.0,rotate_ccw,90.0,True,False,True,False,False,A90.0,strict,False,action_error,959.406,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-b,decision_complexity,D2,es_standard,standardised Spanish,"Si tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario; si no, gira 90 grados en sentido horario.",C90.0,A0,A0.0,rotate_ccw,0.0,True,False,False,False,False,A0.0,strict,False,action_error,616.965,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-b,decision_complexity,D2,es_rioplatense,Rioplatense Spanish,"Si tu coordenada x es mayor que la del rival, girá 90 grados en sentido antihorario; si no, girá 90 grados en sentido horario.",C90.0,A90,A90.0,rotate_ccw,90.0,True,False,True,False,False,A90.0,strict,False,action_error,488.403,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d6-priority-composite-c,decision_complexity,D6,es_standard,standardised Spanish,"Aplica estas reglas en orden. Primero, si tienes el escudo levantado, bájalo. Si no, si el rival tiene 10 puntos de salud o menos, dispara. Si no, si tu salud es menor o igual que la del rival, levanta el escudo. En cualquier otro caso, avanza 0.1.",S1,S0,S0,shield_set,0.0,True,True,False,False,False,S0,strict,False,action_error,1692.655,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d6-priority-composite-c,decision_complexity,D6,en,English,"Apply these rules in order. First, if your shield is raised, lower it. Otherwise, if the opponent has 10 health or less, fire. Otherwise, if your health is less than or equal to the opponent's health, raise the shield. Otherwise, move forward 0.1.",S1,S0,S0,shield_set,0.0,True,True,False,False,False,S0,strict,False,action_error,639.021,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d6-priority-composite-c,decision_complexity,D6,es_rioplatense,Rioplatense Spanish,"Aplicá estas reglas en orden. Primero, si tenés el escudo levantado, bajalo. Si no, si el rival tiene 10 puntos de salud o menos, dispará. Si no, si tu salud es menor o igual que la del rival, levantá el escudo. En cualquier otro caso, avanzá 0.1.",S1,S0,S0,shield_set,0.0,True,True,False,False,False,S0,strict,False,action_error,911.954,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d6-priority-composite-b,decision_complexity,D6,es_rioplatense,Rioplatense Spanish,"Aplicá estas reglas en orden. Primero, si tenés el escudo levantado, bajalo. Si no, si el rival tiene 10 puntos de salud o menos, dispará. Si no, si tu salud es menor o igual que la del rival, levantá el escudo. En cualquier otro caso, avanzá 0.1.",B,S0,S0,shield_set,0.0,True,False,,False,False,S0,strict,False,action_error,1712.932,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d6-priority-composite-b,decision_complexity,D6,es_standard,standardised Spanish,"Aplica estas reglas en orden. Primero, si tienes el escudo levantado, bájalo. Si no, si el rival tiene 10 puntos de salud o menos, dispara. Si no, si tu salud es menor o igual que la del rival, levanta el escudo. En cualquier otro caso, avanza 0.1.",B,S0,S0,shield_set,0.0,True,False,,False,False,S0,strict,False,action_error,898.123,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d6-priority-composite-b,decision_complexity,D6,en,English,"Apply these rules in order. First, if your shield is raised, lower it. Otherwise, if the opponent has 10 health or less, fire. Otherwise, if your health is less than or equal to the opponent's health, raise the shield. Otherwise, move forward 0.1.",B,S0,S0,shield_set,0.0,True,False,,False,False,S0,strict,False,action_error,646.15,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-b,decision_complexity,D2,en,English,"If your health is lower than the opponent's health, raise the shield; otherwise fire.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,1189.283,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-b,decision_complexity,D2,es_rioplatense,Rioplatense Spanish,"Si tenés menos salud que el rival, levantá el escudo; si no, dispará.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,478.928,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-b,decision_complexity,D2,es_standard,standardised Spanish,"Si tienes menos salud que el rival, levanta el escudo; si no, dispara.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,478.658,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-d,decision_complexity,D2,es_standard,standardised Spanish,"Si tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario; si no, gira 90 grados en sentido horario.",A90.0,A90,A90.0,rotate_ccw,90.0,True,True,True,True,True,A90.0,strict,True,correct,1555.546,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-d,decision_complexity,D2,en,English,"If your x coordinate is greater than the opponent's x coordinate, turn counterclockwise 90 degrees; otherwise turn clockwise 90 degrees.",A90.0,A90,A90.0,rotate_ccw,90.0,True,True,True,True,True,A90.0,strict,True,correct,532.098,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-d,decision_complexity,D2,es_rioplatense,Rioplatense Spanish,"Si tu coordenada x es mayor que la del rival, girá 90 grados en sentido antihorario; si no, girá 90 grados en sentido horario.",A90.0,A90,A90.0,rotate_ccw,90.0,True,True,True,True,True,A90.0,strict,True,correct,723.985,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,decision_complexity,D5,es_standard,standardised Spanish,"Calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es de al menos 0.4, avanza 0.1; si no, gira 90 grados en sentido horario.",M0.1,B,B,shoot,,True,False,False,False,False,B,strict,False,action_error,1077.116,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,decision_complexity,D5,es_rioplatense,Rioplatense Spanish,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es de al menos 0.4, avanzá 0.1; si no, girá 90 grados en sentido horario.",M0.1,B,B,shoot,,True,False,False,False,False,B,strict,False,action_error,625.282,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,decision_complexity,D5,en,English,"Compute the horizontal distance between your x coordinate and the opponent's x coordinate. If it is at least 0.4, move forward 0.1; otherwise turn clockwise 90 degrees.",M0.1,M0.1,M0.1,move,0.1,True,True,True,True,True,M0.1,strict,True,correct,844.018,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,decision_complexity,D3,en,English,"If your health is below 15 and your shield is down, raise the shield; otherwise fire.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,1146.475,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,decision_complexity,D3,es_standard,standardised Spanish,"Si tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo; si no, dispara.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,414.254,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,decision_complexity,D3,es_rioplatense,Rioplatense Spanish,"Si tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo; si no, dispará.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,481.435,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,decision_complexity,D5,en,English,"If your health is at least 10 points higher than the opponent's health, fire; otherwise raise the shield.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,1147.194,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,decision_complexity,D5,es_rioplatense,Rioplatense Spanish,"Si tenés al menos 10 puntos de salud más que el rival, dispará; si no, levantá el escudo.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,407.51,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,decision_complexity,D5,es_standard,standardised Spanish,"Si tienes al menos 10 puntos de salud más que el rival, dispara; si no, levanta el escudo.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,394.81,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-b,decision_complexity,D5,en,English,"If your health is at least 10 points higher than the opponent's health, fire; otherwise raise the shield.",S1,B,B,shoot,,True,False,False,False,False,B,strict,False,action_error,1142.145,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-b,decision_complexity,D5,es_standard,standardised Spanish,"Si tienes al menos 10 puntos de salud más que el rival, dispara; si no, levanta el escudo.",S1,B,B,shoot,,True,False,False,False,False,B,strict,False,action_error,402.193,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-b,decision_complexity,D5,es_rioplatense,Rioplatense Spanish,"Si tenés al menos 10 puntos de salud más que el rival, dispará; si no, levantá el escudo.",S1,B,B,shoot,,True,False,False,False,False,B,strict,False,action_error,393.762,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,decision_complexity,D1,en,English,"If your shield is raised, lower it; otherwise fire.",S0,S0,S0,shield_set,0.0,True,True,True,True,True,S0,strict,True,correct,1212.882,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,decision_complexity,D1,es_rioplatense,Rioplatense Spanish,"Si tenés el escudo levantado, bajalo; si no, dispará.",S0,S,S,shield_toggle,,True,False,False,False,True,S,strict,False,action_error,408.826,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,decision_complexity,D1,es_standard,standardised Spanish,"Si tienes el escudo levantado, bájalo; si no, dispara.",S0,S,S,shield_toggle,,True,False,False,False,True,S,strict,False,action_error,405.7,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,decision_complexity,D5,es_rioplatense,Rioplatense Spanish,"Si tenés al menos 10 puntos de salud más que el rival, dispará; si no, levantá el escudo.",S1,B,B,shoot,,True,False,False,False,False,B,strict,False,action_error,1176.524,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,decision_complexity,D5,es_standard,standardised Spanish,"Si tienes al menos 10 puntos de salud más que el rival, dispara; si no, levanta el escudo.",S1,B,B,shoot,,True,False,False,False,False,B,strict,False,action_error,419.207,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,decision_complexity,D5,en,English,"If your health is at least 10 points higher than the opponent's health, fire; otherwise raise the shield.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,486.091,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,decision_complexity,D5,es_rioplatense,Rioplatense Spanish,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es de al menos 0.4, avanzá 0.1; si no, girá 90 grados en sentido horario.",C90.0,M0.1,M0.1,move,0.1,True,False,False,False,False,M0.1,strict,False,action_error,1761.696,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,decision_complexity,D5,en,English,"Compute the horizontal distance between your x coordinate and the opponent's x coordinate. If it is at least 0.4, move forward 0.1; otherwise turn clockwise 90 degrees.",C90.0,M0.1,M0.1,move,0.1,True,False,False,False,False,M0.1,strict,False,action_error,900.578,
