model,repeat,case_id,task_class,tier,condition,condition_label,instruction,expected_command,raw_response,normalized_command,parsed_kind,parsed_value,valid,action_family_correct,parameter_correct,command_correct,executable_correct,diagnostic_command,diagnostic_method,diagnostic_command_correct,failure_class,latency_ms,error
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-ccw-060,parameterised,naturalistic,es_standard,standardised Spanish,Haz un giro de exactamente 60 grados en sentido antihorario.,A60.0,A60,A60.0,rotate_ccw,60.0,True,True,True,True,True,A60.0,strict,True,correct,1312.829,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-ccw-060,parameterised,naturalistic,es_rioplatense,Rioplatense Spanish,Hacé un giro de exactamente 60 grados en sentido antihorario.,A60.0,A60,A60.0,rotate_ccw,60.0,True,True,True,True,True,A60.0,strict,True,correct,1296.127,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-shield-up,state_conditioned,naturalistic,es_standard,standardised Spanish,Tienes el escudo levantado. Bájalo ahora para poder disparar en un turno posterior.,S0,S0,S0,shield_set,0.0,True,True,True,True,True,S0,strict,True,correct,2310.745,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-shield-up,state_conditioned,naturalistic,en,English,Your shield is up. Lower it now so you can fire on a later turn.,S0,S,S,shield_toggle,,True,False,False,False,True,S,strict,False,action_error,1014.086,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,natural-shield-up,state_conditioned,naturalistic,es_rioplatense,Rioplatense Spanish,Tenés el escudo levantado. Bajalo ahora para poder disparar en un turno posterior.,S0,S0,S0,shield_set,0.0,True,True,True,True,True,S0,strict,True,correct,1133.377,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-ccw-045,parameterised,minimal_morphology,es_rioplatense,Rioplatense Spanish,Girá 45 grados en sentido antihorario.,A45.0,A45,A45.0,rotate_ccw,45.0,True,True,True,True,True,A45.0,strict,True,correct,2537.731,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-ccw-045,parameterised,minimal_morphology,es_standard,standardised Spanish,Gira 45 grados en sentido antihorario.,A45.0,A<number>,ERR,invalid,,False,False,False,False,False,,,False,invalid_unrecoverable,1405.351,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-ccw-045,parameterised,minimal_morphology,en,English,Turn counterclockwise 45 degrees.,A45.0,A45,A45.0,rotate_ccw,45.0,True,True,True,True,True,A45.0,strict,True,correct,1335.21,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-shield-down,direct,minimal_morphology,en,English,Lower the shield.,S0,S,S,shield_toggle,,True,False,False,False,True,S,strict,False,action_error,2227.027,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-shield-down,direct,minimal_morphology,es_rioplatense,Rioplatense Spanish,Bajá el escudo.,S0,S0,S0,shield_set,0.0,True,True,True,True,True,S0,strict,True,correct,1159.954,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,direct-shield-down,direct,minimal_morphology,es_standard,standardised Spanish,Baja el escudo.,S0,S0,S0,shield_set,0.0,True,True,True,True,True,S0,strict,True,correct,906.843,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,direct-ccw-045,parameterised,minimal_morphology,es_rioplatense,Rioplatense Spanish,Girá 45 grados en sentido antihorario.,A45.0,A45,A45.0,rotate_ccw,45.0,True,True,True,True,True,A45.0,strict,True,correct,13573.423,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,direct-ccw-045,parameterised,minimal_morphology,en,English,Turn counterclockwise 45 degrees.,A45.0,A45,A45.0,rotate_ccw,45.0,True,True,True,True,True,A45.0,strict,True,correct,547.127,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,direct-ccw-045,parameterised,minimal_morphology,es_standard,standardised Spanish,Gira 45 grados en sentido antihorario.,A45.0,A45,A45.0,rotate_ccw,45.0,True,True,True,True,True,A45.0,strict,True,correct,511.498,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,natural-cw-120,parameterised,naturalistic,en,English,Make a clockwise turn of exactly 120 degrees.,C120.0,C120,C120.0,rotate_cw,120.0,True,True,True,True,True,C120.0,strict,True,correct,565.943,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,natural-cw-120,parameterised,naturalistic,es_standard,standardised Spanish,Haz un giro de exactamente 120 grados en sentido horario.,C120.0,C120,C120.0,rotate_cw,120.0,True,True,True,True,True,C120.0,strict,True,correct,668.15,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,natural-cw-120,parameterised,naturalistic,es_rioplatense,Rioplatense Spanish,Hacé un giro de exactamente 120 grados en sentido horario.,C120.0,C120,C120.0,rotate_cw,120.0,True,True,True,True,True,C120.0,strict,True,correct,712.661,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,direct-cw-090,parameterised,minimal_morphology,es_standard,standardised Spanish,Gira 90 grados en sentido horario.,C90.0,C90,C90.0,rotate_cw,90.0,True,True,True,True,True,C90.0,strict,True,correct,617.65,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,direct-cw-090,parameterised,minimal_morphology,en,English,Turn clockwise 90 degrees.,C90.0,C90,C90.0,rotate_cw,90.0,True,True,True,True,True,C90.0,strict,True,correct,479.26,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,direct-cw-090,parameterised,minimal_morphology,es_rioplatense,Rioplatense Spanish,Girá 90 grados en sentido horario.,C90.0,C90,C90.0,rotate_cw,90.0,True,True,True,True,True,C90.0,strict,True,correct,623.703,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,state-high-health,state_conditioned,clause_level_voseo,es_standard,standardised Spanish,"Si tienes menos de 15 puntos de salud, levanta el escudo; si no, avanza.",M,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,961.495,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,state-high-health,state_conditioned,clause_level_voseo,en,English,"If your health is below 15, raise the shield; otherwise move forward.",M,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,551.392,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,state-high-health,state_conditioned,clause_level_voseo,es_rioplatense,Rioplatense Spanish,"Si tenés menos de 15 puntos de salud, levantá el escudo; si no, avanzá.",M,M,M,move,,True,True,,True,True,M,strict,True,correct,654.02,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,natural-move-005,parameterised,naturalistic,en,English,Take a short step forward of 0.05.,M0.05,M0.05,M0.05,move,0.05,True,True,True,True,True,M0.05,strict,True,correct,957.641,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,natural-move-005,parameterised,naturalistic,es_standard,standardised Spanish,Avanza un paso corto de 0.05 hacia adelante.,M0.05,M0.05,M0.05,move,0.05,True,True,True,True,True,M0.05,strict,True,correct,637.285,
