model,repeat,case_id,policy_id,tier,language,language_label,order,interface,instruction,expected_command,a_command,b_command,first_position_command,second_position_command,full_response,scored_response,normalized_command,valid,command_correct,action_family_correct,executable_correct,selected_first_position,selected_second_position,final_extraction_error,latency_ms,provider_error
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-b,D2-P2,D2,es_standard,Tuteo Spanish,a_first,direct,"Cuando tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario. Cuando tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario.",C90.0,A90.0,C90.0,A90.0,C90.0,A90,A90,A90.0,True,False,False,False,True,False,,1213.801,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-c,D2-P2,D2,es_standard,Tuteo Spanish,b_first,deliberative,"Cuando tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario. Cuando tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario.",C90.0,A90.0,C90.0,C90.0,A90.0,"Scratchpad:
- Bot 1 x: 0.5
- Bot 2 x: 0.5
- Bot 1 x <= Bot 2 x: 0.5 <= 0.5 is true

FINAL: C90",C90,C90.0,True,True,True,True,True,False,,5389.476,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-a,D3-P2,D3,es_standard,Tuteo Spanish,b_first,direct,"Cuando los dos escudos están en el mismo estado, dispara. Cuando exactamente uno de los dos escudos está levantado, avanza.",B,M,B,B,M,B,B,B,True,True,True,True,True,False,,856.057,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,D5-P2,D5,es_standard,Tuteo Spanish,b_first,direct,"Primero calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es menor que 0.4, gira 90 grados en sentido horario. Cuando la distancia es de al menos 0.4, avanza 0.1.",C90.0,M0.1,C90.0,C90.0,M0.1,B,B,B,True,False,False,False,False,False,,1081.673,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-c,D2-P1,D2,es_standard,Tuteo Spanish,b_first,direct,"Cuando tienes tanta o más salud que el rival, dispara. Cuando tienes menos salud que el rival, levanta el escudo.",B,S1,B,B,S1,B,B,B,True,True,True,True,True,False,,1099.035,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,D1-P2,D1,es_standard,Tuteo Spanish,b_first,deliberative,"Cuando tienes 15 puntos de salud o más, avanza. Cuando tienes menos de 15 puntos de salud, levanta el escudo.",M,S1,M,M,S1,"Scratchpad:
- Bot 1 health: 25
- Condition: health >= 15 (25 >= 15 is true)

FINAL: M",M,M,True,True,True,True,True,False,,3632.608,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-b,D3-P1,D3,es_standard,Tuteo Spanish,b_first,direct,"Cuando tienes 15 puntos de salud o más o el escudo está levantado, dispara. Cuando tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo.",B,S1,B,B,S1,B,B,B,True,True,True,True,True,False,,1347.688,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,D5-P1,D5,es_standard,Tuteo Spanish,a_first,deliberative,"Cuando tienes al menos 10 puntos de salud más que el rival, dispara. Cuando no tienes al menos 10 puntos de salud más que el rival, levanta el escudo.",S1,B,S1,B,S1,"Scratchpad:
- Bot 1 health: 10
- Bot 2 health: 25
- Health difference: 10 - 25 = -15

Since the health difference is not at least 10, the policy dictates to set the shield on.

FINAL: S1",S1,S1,True,True,True,True,False,True,,6148.648,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-b,D3-P1,D3,es_standard,Tuteo Spanish,a_first,deliberative,"Cuando tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo. Cuando tienes 15 puntos de salud o más o el escudo está levantado, dispara.",B,S1,B,S1,B,"Scratchpad:
- Bot 1 health: 10 (less than 15)
- Bot 1 shield: true (shield is on)

Since the bot's health is less than 15 and the shield is already on, the policy dictates to fire.

FINAL: B",B,B,True,True,True,True,False,True,,5936.523,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,D1-P2,D1,es_rioplatense,Rioplatense voseo,b_first,direct,"Cuando tenés 15 puntos de salud o más, avanzá. Cuando tenés menos de 15 puntos de salud, levantá el escudo.",S1,S1,M,M,S1,M,M,M,True,False,False,False,True,False,,1160.54,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,D1-P1,D1,es_rioplatense,Rioplatense voseo,a_first,direct,"Cuando tenés el escudo levantado, bajalo. Cuando tenés el escudo bajo, dispará.",S0,S0,B,S0,B,S0,S0,S0,True,True,True,True,True,False,,1260.43,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,D3-P1,D3,es_standard,Tuteo Spanish,a_first,deliberative,"Cuando tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo. Cuando tienes 15 puntos de salud o más o el escudo está levantado, dispara.",S1,S1,B,S1,B,"Scratchpad:
- Bot 1 health: 10 (less than 15)
- Bot 1 shield: false (off)

Policy:
- If health < 15 and shield is off, then set shield on.

FINAL: S1",S1,S1,True,True,True,True,True,False,,5119.16,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-d,D3-P2,D3,es_rioplatense,Rioplatense voseo,b_first,deliberative,"Cuando los dos escudos están en el mismo estado, dispará. Cuando exactamente uno de los dos escudos está levantado, avanzá.",B,M,B,B,M,"Scratchpad:
- Bot 1 shield: true
- Bot 2 shield: true
- Both shields are in the same state (both on)

FINAL: B",B,B,True,True,True,True,True,False,,4206.536,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-b,D5-P1,D5,es_standard,Tuteo Spanish,a_first,deliberative,"Cuando tienes al menos 10 puntos de salud más que el rival, dispara. Cuando no tienes al menos 10 puntos de salud más que el rival, levanta el escudo.",S1,B,S1,B,S1,"Scratchpad:
- Bot 1 health: 29
- Bot 2 health: 20
- Difference in health: 29 - 20 = 9

Since the health difference is not at least 10, the policy dictates to set the shield on.

FINAL: S1",S1,S1,True,True,True,True,False,True,,6997.868,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-d,D5-P2,D5,es_standard,Tuteo Spanish,b_first,deliberative,"Primero calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es menor que 0.4, gira 90 grados en sentido horario. Cuando la distancia es de al menos 0.4, avanza 0.1.",C90.0,M0.1,C90.0,C90.0,M0.1,"Scratchpad:

1. Calculate the horizontal distance between bot 1 and bot 2:
   - bot 1 x: 0.3
   - bot 2 x: 0.31
   - distance: |0.3 - 0.31| = 0.01

2. Compare the distance with 0.4:
   - 0.01 < 0.4

3. Since the distance is less than 0.4, rotate 90 degrees clockwise.

FINAL: C90",C90,C90.0,True,True,True,True,True,False,,11616.922,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_standard,Tuteo Spanish,a_first,direct,"Cuando exactamente uno de los dos escudos está levantado, avanza. Cuando los dos escudos están en el mismo estado, dispara.",M,M,B,M,B,B,B,B,True,False,False,False,False,True,,1382.043,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,D5-P1,D5,es_standard,Tuteo Spanish,b_first,deliberative,"Cuando no tienes al menos 10 puntos de salud más que el rival, levanta el escudo. Cuando tienes al menos 10 puntos de salud más que el rival, dispara.",S1,B,S1,S1,B,"Scratchpad:
- Bot 1 health: 10
- Bot 2 health: 25
- Health difference: 25 - 10 = 15

Since bot 1 has 15 points of health less than bot 2, it should raise the shield.

FINAL: S1",S1,S1,True,True,True,True,True,False,,7535.775,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-c,D2-P1,D2,es_standard,Tuteo Spanish,a_first,direct,"Cuando tienes menos salud que el rival, levanta el escudo. Cuando tienes tanta o más salud que el rival, dispara.",B,S1,B,S1,B,S1,S1,S1,True,False,False,False,True,False,,1479.126,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,D1-P1,D1,es_rioplatense,Rioplatense voseo,b_first,deliberative,"Cuando tenés el escudo bajo, dispará. Cuando tenés el escudo levantado, bajalo.",B,S0,B,B,S0,"Scratchpad:
- Bot 1 shield is off (shield: false)
- Therefore, according to the policy, bot 1 should fire.

FINAL: B",B,B,True,True,True,True,True,False,,3939.112,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-c,D1-P2,D1,es_standard,Tuteo Spanish,a_first,direct,"Cuando tienes menos de 15 puntos de salud, levanta el escudo. Cuando tienes 15 puntos de salud o más, avanza.",M,S1,M,S1,M,S1,S1,S1,True,False,False,False,True,False,,1209.285,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-a,D3-P2,D3,es_rioplatense,Rioplatense voseo,b_first,deliberative,"Cuando los dos escudos están en el mismo estado, dispará. Cuando exactamente uno de los dos escudos está levantado, avanzá.",B,M,B,B,M,"Scratchpad:
- Bot 1 shield: false
- Bot 2 shield: false
- Both shields are in the same state (both off)

FINAL: B",B,B,True,True,True,True,True,False,,4397.938,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,D5-P2,D5,es_rioplatense,Rioplatense voseo,b_first,direct,"Primero calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es menor que 0.4, girá 90 grados en sentido horario. Cuando la distancia es de al menos 0.4, avanzá 0.1.",M0.1,M0.1,C90.0,C90.0,M0.1,M0.1,M0.1,M0.1,True,True,True,True,False,True,,2162.016,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,D5-P2,D5,es_standard,Tuteo Spanish,a_first,direct,"Primero calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es de al menos 0.4, avanza 0.1. Cuando la distancia es menor que 0.4, gira 90 grados en sentido horario.",M0.1,M0.1,C90.0,M0.1,C90.0,B,B,B,True,False,False,False,False,False,,778.192,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,D3-P1,D3,es_rioplatense,Rioplatense voseo,a_first,direct,"Cuando tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo. Cuando tenés 15 puntos de salud o más o el escudo está levantado, dispará.",B,S1,B,S1,B,S1,S1,S1,True,False,False,False,True,False,,1695.093,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,D5-P1,D5,es_rioplatense,Rioplatense voseo,a_first,direct,"Cuando tenés al menos 10 puntos de salud más que el rival, dispará. Cuando no tenés al menos 10 puntos de salud más que el rival, levantá el escudo.",B,B,S1,B,S1,B,B,B,True,True,True,True,True,False,,1517.648,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,D5-P2,D5,es_rioplatense,Rioplatense voseo,b_first,direct,"Primero calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es menor que 0.4, girá 90 grados en sentido horario. Cuando la distancia es de al menos 0.4, avanzá 0.1.",M0.1,M0.1,C90.0,C90.0,M0.1,M0.1,M0.1,M0.1,True,True,True,True,False,True,,1500.344,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,D1-P1,D1,es_rioplatense,Rioplatense voseo,a_first,direct,"Cuando tenés el escudo levantado, bajalo. Cuando tenés el escudo bajo, dispará.",B,S0,B,S0,B,S,S,S,True,False,False,False,False,False,,1242.082,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,D5-P1,D5,es_rioplatense,Rioplatense voseo,b_first,direct,"Cuando no tenés al menos 10 puntos de salud más que el rival, levantá el escudo. Cuando tenés al menos 10 puntos de salud más que el rival, dispará.",B,B,S1,S1,B,S1,S1,S1,True,False,False,False,True,False,,1682.284,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-c,D2-P1,D2,es_rioplatense,Rioplatense voseo,b_first,deliberative,"Cuando tenés tanta o más salud que el rival, dispará. Cuando tenés menos salud que el rival, levantá el escudo.",B,S1,B,B,S1,"Scratchpad:
- Bot 1 health: 15
- Bot 2 health: 15
- Comparison: Bot 1 health (15) >= Bot 2 health (15) → True

FINAL: B",B,B,True,True,True,True,True,False,,5889.991,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,D5-P1,D5,es_rioplatense,Rioplatense voseo,a_first,direct,"Cuando tenés al menos 10 puntos de salud más que el rival, dispará. Cuando no tenés al menos 10 puntos de salud más que el rival, levantá el escudo.",B,B,S1,B,S1,B,B,B,True,True,True,True,True,False,,835.508,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,D5-P2,D5,es_standard,Tuteo Spanish,a_first,deliberative,"Primero calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es de al menos 0.4, avanza 0.1. Cuando la distancia es menor que 0.4, gira 90 grados en sentido horario.",M0.1,M0.1,C90.0,M0.1,C90.0,"Scratchpad:
1. Calculate the horizontal distance between bot 1 and bot 2:
   |0.1 - 0.5| = 0.4
2. Compare the distance with 0.4:
   0.4 >= 0.4 is true
3. Since the distance is at least 0.4, move forward by 0.1.

FINAL: M0.1",M0.1,M0.1,True,True,True,True,True,False,,9953.521,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,D3-P1,D3,es_standard,Tuteo Spanish,a_first,direct,"Cuando tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo. Cuando tienes 15 puntos de salud o más o el escudo está levantado, dispara.",S1,S1,B,S1,B,S1,S1,S1,True,True,True,True,True,False,,1811.258,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,D5-P2,D5,es_standard,Tuteo Spanish,a_first,direct,"Primero calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es de al menos 0.4, avanza 0.1. Cuando la distancia es menor que 0.4, gira 90 grados en sentido horario.",M0.1,M0.1,C90.0,M0.1,C90.0,B,B,B,True,False,False,False,False,False,,1644.859,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,D5-P1,D5,es_rioplatense,Rioplatense voseo,a_first,direct,"Cuando tenés al menos 10 puntos de salud más que el rival, dispará. Cuando no tenés al menos 10 puntos de salud más que el rival, levantá el escudo.",S1,B,S1,B,S1,B,B,B,True,False,False,False,True,False,,1530.396,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,D3-P1,D3,es_rioplatense,Rioplatense voseo,a_first,direct,"Cuando tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo. Cuando tenés 15 puntos de salud o más o el escudo está levantado, dispará.",B,S1,B,S1,B,B,B,B,True,True,True,True,False,True,,1538.245,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,D5-P1,D5,es_rioplatense,Rioplatense voseo,a_first,deliberative,"Cuando tenés al menos 10 puntos de salud más que el rival, dispará. Cuando no tenés al menos 10 puntos de salud más que el rival, levantá el escudo.",B,B,S1,B,S1,"Scratchpad:
- Bot 1 health: 30
- Bot 2 health: 20
- Difference in health: 30 - 20 = 10

Since bot 1 has at least 10 points more health than bot 2, the policy dictates to fire.

FINAL: B",B,B,True,True,True,True,True,False,,7710.124,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,D1-P2,D1,es_rioplatense,Rioplatense voseo,a_first,deliberative,"Cuando tenés menos de 15 puntos de salud, levantá el escudo. Cuando tenés 15 puntos de salud o más, avanzá.",S1,S1,M,S1,M,"Scratchpad:
- Bot 1 health: 5 (less than 15)
- Bot 1 shield: false

Since bot 1 has less than 15 health and its shield is off, it should set the shield on.

FINAL: S1",S1,S1,True,True,True,True,True,False,,6372.177,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_rioplatense,Rioplatense voseo,b_first,direct,"Cuando los dos escudos están en el mismo estado, dispará. Cuando exactamente uno de los dos escudos está levantado, avanzá.",M,M,B,B,M,B,B,B,True,False,False,False,True,False,,1502.199,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-c,D1-P2,D1,es_rioplatense,Rioplatense voseo,b_first,direct,"Cuando tenés 15 puntos de salud o más, avanzá. Cuando tenés menos de 15 puntos de salud, levantá el escudo.",M,S1,M,M,S1,M,M,M,True,True,True,True,True,False,,1286.608,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-d,D1-P1,D1,es_rioplatense,Rioplatense voseo,a_first,deliberative,"Cuando tenés el escudo levantado, bajalo. Cuando tenés el escudo bajo, dispará.",B,S0,B,S0,B,"Scratchpad:
- Bot 1 shield status: false (shield is off)
- Policy: If shield is up, lower it. If shield is down, fire.

Since the shield is off, the action is to fire.

FINAL: B",B,B,True,True,True,True,False,True,,5665.172,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-a,D2-P2,D2,es_rioplatense,Rioplatense voseo,a_first,direct,"Cuando tu coordenada x es mayor que la del rival, girá 90 grados en sentido antihorario. Cuando tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario.",A90.0,A90.0,C90.0,A90.0,C90.0,A90,A90,A90.0,True,True,True,True,True,False,,1992.581,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-d,D2-P1,D2,es_rioplatense,Rioplatense voseo,a_first,deliberative,"Cuando tenés menos salud que el rival, levantá el escudo. Cuando tenés tanta o más salud que el rival, dispará.",S1,S1,B,S1,B,"Scratchpad:
- Bot 1 health: 14
- Bot 2 health: 15
- Bot 1 health < Bot 2 health: True

FINAL: S1",S1,S1,True,True,True,True,True,False,,4547.616,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,D1-P2,D1,es_rioplatense,Rioplatense voseo,b_first,deliberative,"Cuando tenés 15 puntos de salud o más, avanzá. Cuando tenés menos de 15 puntos de salud, levantá el escudo.",S1,S1,M,M,S1,"Scratchpad:
- Bot 1 health: 5
- Condition: health >= 15? 5 >= 15? False
- Action: set shield on

FINAL: S1",S1,S1,True,True,True,True,False,True,,5102.108,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-d,D2-P2,D2,es_standard,Tuteo Spanish,b_first,deliberative,"Cuando tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario. Cuando tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario.",A90.0,A90.0,C90.0,C90.0,A90.0,"Scratchpad:
- Bot 1 x: 0.51
- Bot 2 x: 0.5
- Bot 1 x <= Bot 2 x: 0.51 <= 0.5? False
- Bot 1 x > Bot 2 x: 0.51 > 0.5? True

Since Bot 1 x is greater than Bot 2 x, rotate 90 degrees counterclockwise.

FINAL: A90",A90,A90.0,True,True,True,True,False,True,,10693.71,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-d,D1-P1,D1,es_standard,Tuteo Spanish,a_first,deliberative,"Cuando tienes el escudo levantado, bájalo. Cuando tienes el escudo bajo, dispara.",B,S0,B,S0,B,"Scratchpad:
- Bot 1 shield status: false (shield is off)
- Policy: If shield is on, turn it off. If shield is off, fire.
- Since shield is off, the action is to fire.

FINAL: B",B,B,True,True,True,True,False,True,,5566.251,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,D1-P1,D1,es_rioplatense,Rioplatense voseo,b_first,direct,"Cuando tenés el escudo bajo, dispará. Cuando tenés el escudo levantado, bajalo.",S0,S0,B,B,S0,S,S,S,True,False,False,True,False,False,,1365.41,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-a,D2-P1,D2,es_rioplatense,Rioplatense voseo,b_first,direct,"Cuando tenés tanta o más salud que el rival, dispará. Cuando tenés menos salud que el rival, levantá el escudo.",S1,S1,B,B,S1,B,B,B,True,False,False,False,True,False,,1269.34,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-a,D2-P1,D2,es_standard,Tuteo Spanish,a_first,direct,"Cuando tienes menos salud que el rival, levanta el escudo. Cuando tienes tanta o más salud que el rival, dispara.",S1,S1,B,S1,B,S1,S1,S1,True,True,True,True,True,False,,496.71,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,D1-P2,D1,es_standard,Tuteo Spanish,b_first,direct,"Cuando tienes 15 puntos de salud o más, avanza. Cuando tienes menos de 15 puntos de salud, levanta el escudo.",S1,S1,M,M,S1,M,M,M,True,False,False,False,True,False,,1121.872,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,D3-P1,D3,es_standard,Tuteo Spanish,a_first,direct,"Cuando tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo. Cuando tienes 15 puntos de salud o más o el escudo está levantado, dispara.",B,S1,B,S1,B,B,B,B,True,True,True,True,False,True,,1414.19,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,D5-P1,D5,es_standard,Tuteo Spanish,a_first,direct,"Cuando tienes al menos 10 puntos de salud más que el rival, dispara. Cuando no tienes al menos 10 puntos de salud más que el rival, levanta el escudo.",B,B,S1,B,S1,B,B,B,True,True,True,True,True,False,,1450.552,
