model,repeat,case_id,policy_id,tier,language,language_label,order,interface,instruction,expected_command,first_position_command,second_position_command,full_response,response_chars,scored_response,normalized_command,valid,command_correct,selected_first_position,selected_second_position,final_extraction_error,latency_ms,provider_error,ollama_done_reason,ollama_eval_count
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-a,D2-P2,D2,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario. Cuando tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario.",A90.0,A90.0,C90.0,FINAL: A90,10,A90,A90.0,True,True,True,False,,2031.873,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-a,D2-P2,D2,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario. Cuando tu coordenada x es mayor que la del rival, girá 90 grados en sentido antihorario.",A90.0,C90.0,A90.0,FINAL: C90,10,C90,C90.0,True,False,True,False,,1131.999,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,D3-P1,D3,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo. Cuando tienes 15 puntos de salud o más o el escudo está levantado, dispara.",B,S1,B,FINAL: B,8,B,B,True,True,False,True,,1966.304,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,D1-P1,D1,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes el escudo bajo, dispara. Cuando tienes el escudo levantado, bájalo.",B,B,S0,FINAL: B,8,B,B,True,True,True,False,,1599.092,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-a,D2-P2,D2,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tu coordenada x es mayor que la del rival, girá 90 grados en sentido antihorario. Cuando tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario.",A90.0,A90.0,C90.0,FINAL: A90,10,A90,A90.0,True,True,True,False,,2081.339,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando los dos escudos están en el mismo estado, dispará. Cuando exactamente uno de los dos escudos está levantado, avanzá.",M,B,M,FINAL: M,8,M,M,True,True,False,True,,1565.529,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-a,D3-P2,D3,es_standard,Tuteo Spanish,a_first,format_only,"Cuando exactamente uno de los dos escudos está levantado, avanza. Cuando los dos escudos están en el mismo estado, dispara.",B,M,B,FINAL: B,8,B,B,True,True,False,True,,1581.709,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-d,D1-P1,D1,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés el escudo levantado, bajalo. Cuando tenés el escudo bajo, dispará.",B,S0,B,FINAL: S,8,S,S,True,False,False,False,,1566.73,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,D5-P2,D5,es_rioplatense,Rioplatense voseo,a_first,format_only,"Primero calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es de al menos 0.4, avanzá 0.1. Cuando la distancia es menor que 0.4, girá 90 grados en sentido horario.",C90.0,M0.1,C90.0,FINAL: M0.1,11,M0.1,M0.1,True,False,True,False,,2195.741,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,D5-P2,D5,es_standard,Tuteo Spanish,b_first,format_only,"Primero calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es menor que 0.4, gira 90 grados en sentido horario. Cuando la distancia es de al menos 0.4, avanza 0.1.",C90.0,C90.0,M0.1,FINAL: M0.1,11,M0.1,M0.1,True,False,False,True,,1312.009,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-d,D5-P2,D5,es_standard,Tuteo Spanish,b_first,format_only,"Primero calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es menor que 0.4, gira 90 grados en sentido horario. Cuando la distancia es de al menos 0.4, avanza 0.1.",C90.0,C90.0,M0.1,FINAL: M0.1,11,M0.1,M0.1,True,False,False,True,,2020.859,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,D1-P2,D1,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes menos de 15 puntos de salud, levanta el escudo. Cuando tienes 15 puntos de salud o más, avanza.",S1,S1,M,FINAL: S1,9,S1,S1,True,True,True,False,,1731.112,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,D5-P1,D5,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes al menos 10 puntos de salud más que el rival, dispara. Cuando no tienes al menos 10 puntos de salud más que el rival, levanta el escudo.",B,B,S1,FINAL: S1,9,S1,S1,True,False,False,True,,1987.992,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,D1-P1,D1,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés el escudo levantado, bajalo. Cuando tenés el escudo bajo, dispará.",S0,S0,B,FINAL: S0,9,S0,S0,True,True,True,False,,1751.596,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,D5-P1,D5,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando no tenés al menos 10 puntos de salud más que el rival, levantá el escudo. Cuando tenés al menos 10 puntos de salud más que el rival, dispará.",S1,S1,B,FINAL: S1,9,S1,S1,True,True,True,False,,2128.401,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,D1-P2,D1,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés menos de 15 puntos de salud, levantá el escudo. Cuando tenés 15 puntos de salud o más, avanzá.",M,S1,M,FINAL: M,8,M,M,True,True,False,True,,1637.572,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-d,D2-P2,D2,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tu coordenada x es mayor que la del rival, girá 90 grados en sentido antihorario. Cuando tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario.",A90.0,A90.0,C90.0,FINAL: A90,10,A90,A90.0,True,True,True,False,,2192.752,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-a,D1-P1,D1,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés el escudo bajo, dispará. Cuando tenés el escudo levantado, bajalo.",S0,B,S0,FINAL: S0,9,S0,S0,True,True,False,True,,1722.06,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,D5-P1,D5,es_standard,Tuteo Spanish,b_first,format_only,"Cuando no tienes al menos 10 puntos de salud más que el rival, levanta el escudo. Cuando tienes al menos 10 puntos de salud más que el rival, dispara.",B,S1,B,FINAL: S1,9,S1,S1,True,False,True,False,,2086.714,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,D5-P1,D5,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando no tenés al menos 10 puntos de salud más que el rival, levantá el escudo. Cuando tenés al menos 10 puntos de salud más que el rival, dispará.",B,S1,B,FINAL: S1,9,S1,S1,True,False,True,False,,2124.769,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-b,D5-P1,D5,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés al menos 10 puntos de salud más que el rival, dispará. Cuando no tenés al menos 10 puntos de salud más que el rival, levantá el escudo.",S1,B,S1,FINAL: S1,9,S1,S1,True,True,False,True,,2108.34,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,D1-P2,D1,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés 15 puntos de salud o más, avanzá. Cuando tenés menos de 15 puntos de salud, levantá el escudo.",S1,M,S1,FINAL: S1,9,S1,S1,True,True,False,True,,1785.455,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-a,D2-P1,D2,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes tanta o más salud que el rival, dispara. Cuando tienes menos salud que el rival, levanta el escudo.",S1,B,S1,FINAL: B,8,B,B,True,False,True,False,,1797.917,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-c,D1-P2,D1,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés menos de 15 puntos de salud, levantá el escudo. Cuando tenés 15 puntos de salud o más, avanzá.",M,S1,M,FINAL: M,8,M,M,True,True,False,True,,1798.254,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-c,D2-P1,D2,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes tanta o más salud que el rival, dispara. Cuando tienes menos salud que el rival, levanta el escudo.",B,B,S1,FINAL: B,8,B,B,True,True,True,False,,1427.956,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_standard,Tuteo Spanish,b_first,format_only,"Cuando los dos escudos están en el mismo estado, dispara. Cuando exactamente uno de los dos escudos está levantado, avanza.",M,B,M,FINAL: M,8,M,M,True,True,False,True,,1768.086,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,D5-P2,D5,es_standard,Tuteo Spanish,a_first,format_only,"Primero calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es de al menos 0.4, avanza 0.1. Cuando la distancia es menor que 0.4, gira 90 grados en sentido horario.",M0.1,M0.1,C90.0,FINAL: M0.1,11,M0.1,M0.1,True,True,True,False,,2079.985,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-b,D5-P1,D5,es_standard,Tuteo Spanish,b_first,format_only,"Cuando no tienes al menos 10 puntos de salud más que el rival, levanta el escudo. Cuando tienes al menos 10 puntos de salud más que el rival, dispara.",S1,S1,B,FINAL: S1,9,S1,S1,True,True,True,False,,2227.433,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-a,D2-P2,D2,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario. Cuando tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario.",A90.0,C90.0,A90.0,FINAL: C90,10,C90,C90.0,True,False,True,False,,2390.493,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-b,D5-P1,D5,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes al menos 10 puntos de salud más que el rival, dispara. Cuando no tienes al menos 10 puntos de salud más que el rival, levanta el escudo.",S1,B,S1,FINAL: S1,9,S1,S1,True,True,False,True,,2266.185,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,D3-P1,D3,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés 15 puntos de salud o más o el escudo está levantado, dispará. Cuando tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo.",S1,B,S1,FINAL: B,8,B,B,True,False,True,False,,2213.747,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,D5-P1,D5,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés al menos 10 puntos de salud más que el rival, dispará. Cuando no tenés al menos 10 puntos de salud más que el rival, levantá el escudo.",B,B,S1,FINAL: S1,9,S1,S1,True,False,False,True,,2285.987,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,D3-P1,D3,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo. Cuando tienes 15 puntos de salud o más o el escudo está levantado, dispara.",S1,S1,B,FINAL: S1,9,S1,S1,True,True,True,False,,2331.33,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-d,D3-P2,D3,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando exactamente uno de los dos escudos está levantado, avanzá. Cuando los dos escudos están en el mismo estado, dispará.",B,M,B,FINAL: M,8,M,M,True,False,True,False,,1919.149,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,D5-P2,D5,es_standard,Tuteo Spanish,b_first,format_only,"Primero calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es menor que 0.4, gira 90 grados en sentido horario. Cuando la distancia es de al menos 0.4, avanza 0.1.",M0.1,C90.0,M0.1,FINAL: M0.1,11,M0.1,M0.1,True,True,False,True,,2618.118,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,D1-P2,D1,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes 15 puntos de salud o más, avanza. Cuando tienes menos de 15 puntos de salud, levanta el escudo.",M,M,S1,FINAL: M,8,M,M,True,True,True,False,,1946.981,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-b,D2-P1,D2,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés menos salud que el rival, levantá el escudo. Cuando tenés tanta o más salud que el rival, dispará.",B,S1,B,FINAL: S1,9,S1,S1,True,False,True,False,,2047.394,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,D3-P1,D3,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés 15 puntos de salud o más o el escudo está levantado, dispará. Cuando tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo.",B,B,S1,FINAL: B,8,B,B,True,True,True,False,,1620.511,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-c,D1-P2,D1,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés 15 puntos de salud o más, avanzá. Cuando tenés menos de 15 puntos de salud, levantá el escudo.",M,M,S1,FINAL: M,8,M,M,True,True,True,False,,2006.25,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-c,D2-P1,D2,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés menos salud que el rival, levantá el escudo. Cuando tenés tanta o más salud que el rival, dispará.",B,S1,B,FINAL: S1,9,S1,S1,True,False,True,False,,1694.193,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,D3-P1,D3,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo. Cuando tienes 15 puntos de salud o más o el escudo está levantado, dispara.",B,S1,B,FINAL: S1,9,S1,S1,True,False,True,False,,2504.764,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,D1-P2,D1,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés 15 puntos de salud o más, avanzá. Cuando tenés menos de 15 puntos de salud, levantá el escudo.",M,M,S1,FINAL: M,8,M,M,True,True,True,False,,2015.591,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_standard,Tuteo Spanish,a_first,format_only,"Cuando exactamente uno de los dos escudos está levantado, avanza. Cuando los dos escudos están en el mismo estado, dispara.",M,M,B,FINAL: M,8,M,M,True,True,True,False,,2015.933,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-b,D3-P1,D3,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo. Cuando tienes 15 puntos de salud o más o el escudo está levantado, dispara.",B,S1,B,FINAL: B,8,B,B,True,True,False,True,,2434.935,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-c,D1-P2,D1,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes 15 puntos de salud o más, avanza. Cuando tienes menos de 15 puntos de salud, levanta el escudo.",M,M,S1,FINAL: M,8,M,M,True,True,True,False,,2067.999,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-d,D2-P2,D2,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario. Cuando tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario.",A90.0,C90.0,A90.0,FINAL: C90,10,C90,C90.0,True,False,True,False,,2769.13,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,D1-P2,D1,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés menos de 15 puntos de salud, levantá el escudo. Cuando tenés 15 puntos de salud o más, avanzá.",S1,S1,M,FINAL: S1,9,S1,S1,True,True,True,False,,2261.485,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-b,D2-P2,D2,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario. Cuando tu coordenada x es mayor que la del rival, girá 90 grados en sentido antihorario.",C90.0,C90.0,A90.0,FINAL: C90,10,C90,C90.0,True,True,True,False,,2826.621,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,D5-P2,D5,es_rioplatense,Rioplatense voseo,b_first,format_only,"Primero calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es menor que 0.4, girá 90 grados en sentido horario. Cuando la distancia es de al menos 0.4, avanzá 0.1.",M0.1,C90.0,M0.1,FINAL: M0.1,11,M0.1,M0.1,True,True,False,True,,2547.224,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,D5-P2,D5,es_rioplatense,Rioplatense voseo,b_first,format_only,"Primero calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es menor que 0.4, girá 90 grados en sentido horario. Cuando la distancia es de al menos 0.4, avanzá 0.1.",M0.1,C90.0,M0.1,FINAL: M0.1,11,M0.1,M0.1,True,True,False,True,,2580.233,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,D3-P1,D3,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo. Cuando tenés 15 puntos de salud o más o el escudo está levantado, dispará.",B,S1,B,FINAL: S1,9,S1,S1,True,False,True,False,,2771.829,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-d,D2-P1,D2,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés menos salud que el rival, levantá el escudo. Cuando tenés tanta o más salud que el rival, dispará.",S1,S1,B,FINAL: S1,9,S1,S1,True,True,True,False,,2335.043,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,D3-P1,D3,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes 15 puntos de salud o más o el escudo está levantado, dispara. Cuando tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo.",S1,B,S1,FINAL: B,8,B,B,True,False,True,False,,2662.408,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-b,D2-P2,D2,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tu coordenada x es mayor que la del rival, gira 90 grados en sentido antihorario. Cuando tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario.",C90.0,A90.0,C90.0,FINAL: A90,10,A90,A90.0,True,False,True,False,,2894.676,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-d,D1-P1,D1,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés el escudo bajo, dispará. Cuando tenés el escudo levantado, bajalo.",B,B,S0,FINAL: B,8,B,B,True,True,True,False,,2302.137,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,D1-P1,D1,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés el escudo bajo, dispará. Cuando tenés el escudo levantado, bajalo.",B,B,S0,FINAL: B,8,B,B,True,True,True,False,,2266.777,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-b,D3-P1,D3,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo. Cuando tenés 15 puntos de salud o más o el escudo está levantado, dispará.",B,S1,B,FINAL: B,8,B,B,True,True,False,True,,2699.774,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-a,D1-P1,D1,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes el escudo bajo, dispara. Cuando tienes el escudo levantado, bájalo.",S0,B,S0,FINAL: S0,9,S0,S0,True,True,False,True,,2408.454,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,D5-P2,D5,es_rioplatense,Rioplatense voseo,a_first,format_only,"Primero calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es de al menos 0.4, avanzá 0.1. Cuando la distancia es menor que 0.4, girá 90 grados en sentido horario.",M0.1,M0.1,C90.0,FINAL: M0.1,11,M0.1,M0.1,True,True,True,False,,3216.286,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,D5-P2,D5,es_standard,Tuteo Spanish,a_first,format_only,"Primero calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Cuando la distancia es de al menos 0.4, avanza 0.1. Cuando la distancia es menor que 0.4, gira 90 grados en sentido horario.",M0.1,M0.1,C90.0,FINAL: M0.1,11,M0.1,M0.1,True,True,True,False,,1838.496,,stop,8
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-c,D2-P2,D2,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tu coordenada x es mayor que la del rival, girá 90 grados en sentido antihorario. Cuando tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario.",C90.0,A90.0,C90.0,FINAL: A90,10,A90,A90.0,True,False,True,False,,2750.611,,stop,7
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-d,D2-P1,D2,es_rioplatense,Rioplatense voseo,b_first,format_only,"Cuando tenés tanta o más salud que el rival, dispará. Cuando tenés menos salud que el rival, levantá el escudo.",S1,B,S1,FINAL: B,8,B,B,True,False,True,False,,2393.349,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,D3-P1,D3,es_rioplatense,Rioplatense voseo,a_first,format_only,"Cuando tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo. Cuando tenés 15 puntos de salud o más o el escudo está levantado, dispará.",B,S1,B,FINAL: B,8,B,B,True,True,False,True,,2836.153,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,D5-P1,D5,es_standard,Tuteo Spanish,a_first,format_only,"Cuando tienes al menos 10 puntos de salud más que el rival, dispara. Cuando no tienes al menos 10 puntos de salud más que el rival, levanta el escudo.",B,B,S1,FINAL: S1,9,S1,S1,True,False,False,True,,3028.172,,stop,6
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-b,D2-P1,D2,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes tanta o más salud que el rival, dispara. Cuando tienes menos salud que el rival, levanta el escudo.",B,B,S1,FINAL: B,8,B,B,True,True,True,False,,2418.162,,stop,5
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-d,D2-P1,D2,es_standard,Tuteo Spanish,b_first,format_only,"Cuando tienes tanta o más salud que el rival, dispara. Cuando tienes menos salud que el rival, levanta el escudo.",S1,B,S1,FINAL: B,8,B,B,True,False,True,False,,2377.076,,stop,5
