model,repeat,case_id,policy_id,tier,condition,condition_label,instruction,expected_command,raw_response,normalized_command,valid,command_correct,action_family_correct,executable_correct,latency_ms,error
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",M,B,B,True,False,False,False,12926.368,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,D3-P1,D3,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más o el escudo está levantado, dispará; si no, levantá el escudo.",S1,B,B,True,False,False,False,339.483,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-b,D3-P1,D3,en,English,"If your health is 15 or higher or your shield is raised, fire; otherwise raise the shield.",B,B,B,True,True,True,True,768.735,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-b,D3-P1,D3,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más o el escudo está levantado, dispará; si no, levantá el escudo.",B,B,B,True,True,True,True,343.015,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-b,D3-P1,D3,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más o el escudo está levantado, dispara; si no, levanta el escudo.",B,B,B,True,True,True,True,336.064,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-c,D2-P2,D2,en,English,"If your x coordinate is less than or equal to the opponent's x coordinate, turn clockwise 90 degrees; otherwise turn counterclockwise 90 degrees.",C90.0,A90,A90.0,True,False,False,False,1060.862,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-c,D2-P2,D2,es_standard,Tuteo Spanish,"Si tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario; si no, gira 90 grados en sentido antihorario.",C90.0,C90,C90.0,True,True,True,True,636.659,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-c,D2-P2,D2,es_rioplatense,Rioplatense voseo,"Si tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario; si no, girá 90 grados en sentido antihorario.",C90.0,A90,A90.0,True,False,False,False,468.073,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-d,D5-P2,D5,en,English,"Compute the horizontal distance between your x coordinate and the opponent's x coordinate. If it is below 0.4, turn clockwise 90 degrees; otherwise move forward 0.1.",C90.0,M0.1,M0.1,True,False,False,False,1121.884,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-d,D5-P2,D5,es_rioplatense,Rioplatense voseo,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, girá 90 grados en sentido horario; si no, avanzá 0.1.",C90.0,B,B,True,False,False,False,523.438,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-d,D5-P2,D5,es_standard,Tuteo Spanish,"Calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, gira 90 grados en sentido horario; si no, avanza 0.1.",C90.0,B,B,True,False,False,False,529.448,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-d,D2-P2,D2,en,English,"If your x coordinate is less than or equal to the opponent's x coordinate, turn clockwise 90 degrees; otherwise turn counterclockwise 90 degrees.",A90.0,C90,C90.0,True,False,False,False,1042.599,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-d,D2-P2,D2,es_rioplatense,Rioplatense voseo,"Si tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario; si no, girá 90 grados en sentido antihorario.",A90.0,A90,A90.0,True,True,True,True,649.585,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-d,D2-P2,D2,es_standard,Tuteo Spanish,"Si tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario; si no, gira 90 grados en sentido antihorario.",A90.0,C90,C90.0,True,False,False,False,464.129,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-d,D3-P2,D3,es_standard,Tuteo Spanish,"Si los dos escudos están en el mismo estado, dispara; si no, avanza.",B,B,B,True,True,True,True,770.296,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-d,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",B,B,B,True,True,True,True,329.814,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-d,D3-P2,D3,en,English,"If both shields are in the same state, fire; otherwise move forward.",B,B,B,True,True,True,True,342.439,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-a,D2-P2,D2,en,English,"If your x coordinate is less than or equal to the opponent's x coordinate, turn clockwise 90 degrees; otherwise turn counterclockwise 90 degrees.",A90.0,C90,C90.0,True,False,False,False,1107.328,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-a,D2-P2,D2,es_standard,Tuteo Spanish,"Si tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario; si no, gira 90 grados en sentido antihorario.",A90.0,C90,C90.0,True,False,False,False,644.22,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-a,D2-P2,D2,es_rioplatense,Rioplatense voseo,"Si tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario; si no, girá 90 grados en sentido antihorario.",A90.0,A90,A90.0,True,True,True,True,469.128,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,D5-P1,D5,es_standard,Tuteo Spanish,"Si no tienes al menos 10 puntos de salud más que el rival, levanta el escudo; si no, dispara.",B,S1,S1,True,False,False,False,829.422,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,D5-P1,D5,en,English,"If your health is not at least 10 points higher than the opponent's health, raise the shield; otherwise fire.",B,S1,S1,True,False,False,False,408.119,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-a,D5-P1,D5,es_rioplatense,Rioplatense voseo,"Si no tenés al menos 10 puntos de salud más que el rival, levantá el escudo; si no, dispará.",B,S1,S1,True,False,False,False,405.871,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,D1-P2,D1,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más, avanza; si no, levanta el escudo.",M,M,M,True,True,True,True,932.169,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,D1-P2,D1,en,English,"If your health is 15 or higher, move forward; otherwise raise the shield.",M,M,M,True,True,True,True,334.061,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,D1-P2,D1,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más, avanzá; si no, levantá el escudo.",M,M,M,True,True,True,True,336.682,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-d,D2-P1,D2,es_rioplatense,Rioplatense voseo,"Si tenés tanta o más salud que el rival, dispará; si no, levantá el escudo.",S1,B,B,True,False,False,False,927.139,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-d,D2-P1,D2,en,English,"If your health is greater than or equal to the opponent's health, fire; otherwise raise the shield.",S1,B,B,True,False,False,False,332.669,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-d,D2-P1,D2,es_standard,Tuteo Spanish,"Si tienes tanta o más salud que el rival, dispara; si no, levanta el escudo.",S1,B,B,True,False,False,False,336.161,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,D1-P1,D1,en,English,"If your shield is down, fire; otherwise lower the shield.",B,B,B,True,True,True,True,940.155,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,D1-P1,D1,es_standard,Tuteo Spanish,"Si tienes el escudo bajo, dispara; si no, bájalo.",B,B,B,True,True,True,True,349.761,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,D1-P1,D1,es_rioplatense,Rioplatense voseo,"Si tenés el escudo bajo, dispará; si no, bajalo.",B,B,B,True,True,True,True,331.949,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-d,D1-P1,D1,es_rioplatense,Rioplatense voseo,"Si tenés el escudo bajo, dispará; si no, bajalo.",B,B,B,True,True,True,True,928.37,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-d,D1-P1,D1,es_standard,Tuteo Spanish,"Si tienes el escudo bajo, dispara; si no, bájalo.",B,B,B,True,True,True,True,342.549,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-d,D1-P1,D1,en,English,"If your shield is down, fire; otherwise lower the shield.",B,B,B,True,True,True,True,339.856,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,D5-P1,D5,en,English,"If your health is not at least 10 points higher than the opponent's health, raise the shield; otherwise fire.",S1,S1,S1,True,True,True,True,1004.539,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,D5-P1,D5,es_standard,Tuteo Spanish,"Si no tienes al menos 10 puntos de salud más que el rival, levanta el escudo; si no, dispara.",S1,S1,S1,True,True,True,True,406.261,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-c,D5-P1,D5,es_rioplatense,Rioplatense voseo,"Si no tenés al menos 10 puntos de salud más que el rival, levantá el escudo; si no, dispará.",S1,S1,S1,True,True,True,True,412.855,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,D5-P2,D5,en,English,"Compute the horizontal distance between your x coordinate and the opponent's x coordinate. If it is below 0.4, turn clockwise 90 degrees; otherwise move forward 0.1.",M0.1,B,B,True,False,False,False,1185.474,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,D5-P2,D5,es_rioplatense,Rioplatense voseo,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, girá 90 grados en sentido horario; si no, avanzá 0.1.",M0.1,B,B,True,False,False,False,525.534,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-c,D5-P2,D5,es_standard,Tuteo Spanish,"Calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, gira 90 grados en sentido horario; si no, avanza 0.1.",M0.1,B,B,True,False,False,False,556.179,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-c,D1-P2,D1,en,English,"If your health is 15 or higher, move forward; otherwise raise the shield.",M,M,M,True,True,True,True,962.825,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-c,D1-P2,D1,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más, avanza; si no, levanta el escudo.",M,M,M,True,True,True,True,334.331,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-c,D1-P2,D1,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más, avanzá; si no, levantá el escudo.",M,M,M,True,True,True,True,352.132,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-a,D1-P1,D1,en,English,"If your shield is down, fire; otherwise lower the shield.",S0,S0,S0,True,True,True,True,1122.826,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-a,D1-P1,D1,es_standard,Tuteo Spanish,"Si tienes el escudo bajo, dispara; si no, bájalo.",S0,S0,S0,True,True,True,True,451.018,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-a,D1-P1,D1,es_rioplatense,Rioplatense voseo,"Si tenés el escudo bajo, dispará; si no, bajalo.",S0,S,S,True,False,False,True,343.657,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,D1-P1,D1,es_standard,Tuteo Spanish,"Si tienes el escudo bajo, dispara; si no, bájalo.",S0,S0,S0,True,True,True,True,1033.115,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,D1-P1,D1,en,English,"If your shield is down, fire; otherwise lower the shield.",S0,S0,S0,True,True,True,True,448.424,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-c,D1-P1,D1,es_rioplatense,Rioplatense voseo,"Si tenés el escudo bajo, dispará; si no, bajalo.",S0,S,S,True,False,False,True,347.008,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-b,D2-P2,D2,es_standard,Tuteo Spanish,"Si tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario; si no, gira 90 grados en sentido antihorario.",C90.0,C90,C90.0,True,True,True,True,1366.416,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-b,D2-P2,D2,es_rioplatense,Rioplatense voseo,"Si tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario; si no, girá 90 grados en sentido antihorario.",C90.0,A90,A90.0,True,False,False,False,486.116,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-x-compare-b,D2-P2,D2,en,English,"If your x coordinate is less than or equal to the opponent's x coordinate, turn clockwise 90 degrees; otherwise turn counterclockwise 90 degrees.",C90.0,C90,C90.0,True,True,True,True,689.477,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-c,D2-P1,D2,es_rioplatense,Rioplatense voseo,"Si tenés tanta o más salud que el rival, dispará; si no, levantá el escudo.",B,B,B,True,True,True,True,1057.794,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-c,D2-P1,D2,en,English,"If your health is greater than or equal to the opponent's health, fire; otherwise raise the shield.",B,B,B,True,True,True,True,364.085,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-c,D2-P1,D2,es_standard,Tuteo Spanish,"Si tienes tanta o más salud que el rival, dispara; si no, levanta el escudo.",B,B,B,True,True,True,True,353.683,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,D5-P2,D5,en,English,"Compute the horizontal distance between your x coordinate and the opponent's x coordinate. If it is below 0.4, turn clockwise 90 degrees; otherwise move forward 0.1.",M0.1,B,B,True,False,False,False,1334.1,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,D5-P2,D5,es_standard,Tuteo Spanish,"Calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, gira 90 grados en sentido horario; si no, avanza 0.1.",M0.1,B,B,True,False,False,False,596.287,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,D5-P2,D5,es_rioplatense,Rioplatense voseo,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, girá 90 grados en sentido horario; si no, avanzá 0.1.",M0.1,B,B,True,False,False,False,576.768,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-b,D1-P2,D1,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más, avanza; si no, levanta el escudo.",S1,M,M,True,False,False,False,1065.716,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-b,D1-P2,D1,en,English,"If your health is 15 or higher, move forward; otherwise raise the shield.",S1,M,M,True,False,False,False,413.511,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-b,D1-P2,D1,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más, avanzá; si no, levantá el escudo.",S1,M,M,True,False,False,False,359.939,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-b,D5-P1,D5,es_rioplatense,Rioplatense voseo,"Si no tenés al menos 10 puntos de salud más que el rival, levantá el escudo; si no, dispará.",S1,S1,S1,True,True,True,True,1133.94,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-b,D5-P1,D5,es_standard,Tuteo Spanish,"Si no tienes al menos 10 puntos de salud más que el rival, levanta el escudo; si no, dispara.",S1,S1,S1,True,True,True,True,438.224,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-b,D5-P1,D5,en,English,"If your health is not at least 10 points higher than the opponent's health, raise the shield; otherwise fire.",S1,S1,S1,True,True,True,True,436.194,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-a,D3-P2,D3,en,English,"If both shields are in the same state, fire; otherwise move forward.",B,B,B,True,True,True,True,1085.628,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-a,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",B,B,B,True,True,True,True,366.509,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-a,D3-P2,D3,es_standard,Tuteo Spanish,"Si los dos escudos están en el mismo estado, dispara; si no, avanza.",B,B,B,True,True,True,True,363.301,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-a,D2-P1,D2,es_standard,Tuteo Spanish,"Si tienes tanta o más salud que el rival, dispara; si no, levanta el escudo.",S1,B,B,True,False,False,False,1088.599,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-a,D2-P1,D2,en,English,"If your health is greater than or equal to the opponent's health, fire; otherwise raise the shield.",S1,B,B,True,False,False,False,340.724,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-a,D2-P1,D2,es_rioplatense,Rioplatense voseo,"Si tenés tanta o más salud que el rival, dispará; si no, levantá el escudo.",S1,B,B,True,False,False,False,373.251,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,D1-P2,D1,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más, avanza; si no, levanta el escudo.",S1,M,M,True,False,False,False,1057.673,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,D1-P2,D1,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más, avanzá; si no, levantá el escudo.",S1,M,M,True,False,False,False,348.496,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-a,D1-P2,D1,en,English,"If your health is 15 or higher, move forward; otherwise raise the shield.",S1,M,M,True,False,False,False,342.311,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-a,D2-P1,D2,es_rioplatense,Rioplatense voseo,"Si tenés tanta o más salud que el rival, dispará; si no, levantá el escudo.",S1,B,B,True,False,False,False,11201.603,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-a,D2-P1,D2,en,English,"If your health is greater than or equal to the opponent's health, fire; otherwise raise the shield.",S1,B,B,True,False,False,False,228.223,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-a,D2-P1,D2,es_standard,Tuteo Spanish,"Si tienes tanta o más salud que el rival, dispara; si no, levanta el escudo.",S1,B,B,True,False,False,False,208.359,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,en,English,"If both shields are in the same state, fire; otherwise move forward.",M,B,B,True,False,False,False,306.65,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_standard,Tuteo Spanish,"Si los dos escudos están en el mismo estado, dispara; si no, avanza.",M,B,B,True,False,False,False,236.488,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",M,B,B,True,False,False,False,142.193,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-health-d,D1-P2,D1,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más, avanza; si no, levanta el escudo.",M,M,M,True,True,True,True,315.937,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-health-d,D1-P2,D1,en,English,"If your health is 15 or higher, move forward; otherwise raise the shield.",M,M,M,True,True,True,True,181.126,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d1-health-d,D1-P2,D1,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más, avanzá; si no, levantá el escudo.",M,M,M,True,True,True,True,206.323,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-c,D2-P2,D2,es_standard,Tuteo Spanish,"Si tu coordenada x es menor o igual que la del rival, gira 90 grados en sentido horario; si no, gira 90 grados en sentido antihorario.",C90.0,C90,C90.0,True,True,True,True,363.293,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-c,D2-P2,D2,en,English,"If your x coordinate is less than or equal to the opponent's x coordinate, turn clockwise 90 degrees; otherwise turn counterclockwise 90 degrees.",C90.0,C90,C90.0,True,True,True,True,266.45,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-x-compare-c,D2-P2,D2,es_rioplatense,Rioplatense voseo,"Si tu coordenada x es menor o igual que la del rival, girá 90 grados en sentido horario; si no, girá 90 grados en sentido antihorario.",C90.0,C90,C90.0,True,True,True,True,271.704,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,en,English,"If both shields are in the same state, fire; otherwise move forward.",M,B,B,True,False,False,False,288.821,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_standard,Tuteo Spanish,"Si los dos escudos están en el mismo estado, dispara; si no, avanza.",M,B,B,True,False,False,False,192.639,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",M,B,B,True,False,False,False,144.536,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-d,D2-P1,D2,es_standard,Tuteo Spanish,"Si tienes tanta o más salud que el rival, dispara; si no, levanta el escudo.",S1,B,B,True,False,False,False,327.305,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-d,D2-P1,D2,en,English,"If your health is greater than or equal to the opponent's health, fire; otherwise raise the shield.",S1,B,B,True,False,False,False,197.569,
qwen3:30b-a3b-instruct-2507-q4_K_M,0,d2-health-compare-d,D2-P1,D2,es_rioplatense,Rioplatense voseo,"Si tenés tanta o más salud que el rival, dispará; si no, levantá el escudo.",S1,B,B,True,False,False,False,237.641,
